version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57264,0.60288233,0.570656,0.71820801,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054175999,0.055008631,0.053376,0.060608,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.036896002,0.037106562,0.036256,0.038015999,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13664,0.1407533,0.13481601,0.175008,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.0525761,2.0487211,2.03072,2.065568,66.95925,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.4816,2.514353,2.2336321,3.110976,55.383201,0,0,0,0,"includes dequant and GEMM"
v16a,"warp-streamed 16x16 FP32 scratch epilogue",4096,4096,4096,64,64,128,32,32,64,2,128,96,24064,0.33333334,steady,2.8852799,2.9132681,2.647584,3.277056,47.634531,1,1,0,0,""
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,64,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.5350721,2.5668228,2.2625279,3.2130239,54.215008,1.1381451,1.1381451,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,steady,3.29632,3.36362,3.0216,3.9953599,41.694664,0.76906129,0.87530335,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.3185279,3.3752902,3.1754241,3.968224,41.415639,0.99330789,0.86944571,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.413856,0.41812924,0.41206399,0.437536,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054079998,0.054088287,0.052448001,0.054784,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.037439998,0.037228163,0.036224,0.038304001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.132736,0.13827524,0.13135999,0.183456,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.0540161,2.0506401,2.03104,2.0705919,66.912305,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.4714241,2.5124865,2.2055681,3.1397121,55.611238,0,0,0,0,"includes dequant and GEMM"
v16a,"warp-streamed 16x16 FP32 scratch epilogue",4096,4096,4096,128,64,128,32,32,64,2,128,96,24064,0.33333334,steady,2.9288321,2.9497714,2.6391039,3.4765439,46.926198,1,1,0,0,""
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,128,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.524544,2.5355959,2.2623999,2.8264639,54.4411,1.160143,1.160143,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,steady,3.2288959,3.2711577,3.0019839,3.5403841,42.56531,0.78185983,0.90706921,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.292192,3.3520157,3.002368,3.957696,41.746944,0.98077387,0.88962979,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
