version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
v17e,"full/empty TMA + BFE/PRMT INT4 decode",4096,4096,4096,32,64,128,32,64,32,2,128,98,12832,0.33333334,steady,2.4939201,2.5298891,2.224896,3.1720641,55.109606,0.99834478,0.97328537,0,0,""
final,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,32,64,128,32,32,64,2,128,96,12816,0.41666666,steady,2.4789441,2.5103638,2.2189441,3.167232,55.442539,1.0060413,0.97916527,0,0,""
final_cold,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,32,64,128,32,32,64,2,128,96,12816,0.41666666,cold-ish,2.463104,2.5030694,2.199616,2.9286399,55.799086,1.006431,0.98546221,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57590401,0.60469592,0.57180798,0.72089601,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054016002,0.055531397,0.053376,0.055232,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.039648,0.039997283,0.038880002,0.041216001,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.031424001,0.031487033,0.030912001,0.032352,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,64,64,128,32,32,64,2,128,-1,0,-1,one-shot,3.2525439,3.3263292,2.9632959,3.9502399,42.255833,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13680001,0.14064801,0.135552,0.178912,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.066112,2.0656452,2.0333121,2.0838079,66.520571,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.4665599,2.5108283,2.221504,3.08512,55.720907,0,0,0,0,"includes dequant and GEMM"
v17a,"TMA baseline with 64x32 warp tile",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.4671681,2.4954293,2.1781759,3.0478721,55.70717,1,1,0,0,""
v17b,"64x32 TMA + ldmatrix.x4 A fragments",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.430624,2.4584429,2.1567359,3.01104,56.54472,1.0150349,1.0150349,0,0,""
v17c,"ldmatrix + group32 k16 fragment-pair repack",4096,4096,4096,64,64,128,32,64,32,2,128,98,12816,0.33333334,steady,2.464992,2.5134006,2.1720641,3.163744,55.756348,0.98605755,1.0008828,0,0,""
v17d,"fragment-pair TMA + full/empty mbarrier handoff",4096,4096,4096,64,64,128,32,64,32,2,128,98,12832,0.33333334,steady,2.476192,2.5379264,2.208832,3.2418561,55.504159,0.99547695,0.99635573,0,0,""
v17e,"full/empty TMA + BFE/PRMT INT4 decode",4096,4096,4096,64,64,128,32,64,32,2,128,98,12832,0.33333334,steady,2.498816,2.5092733,2.215328,2.8971519,55.00163,0.99094611,0.98733483,0,0,""
final,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,64,64,128,32,32,64,2,128,96,12816,0.41666666,steady,2.5065279,2.5141881,2.2308481,2.727392,54.832405,0.99692328,0.98429708,0,0,""
final_cold,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,64,64,128,32,32,64,2,128,96,12816,0.41666666,cold-ish,2.483264,2.5152073,2.2384641,2.87744,55.346091,1.0093683,0.99351826,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.41315201,0.41735768,0.41145599,0.437664,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054048002,0.054789472,0.052255999,0.055103999,0,0,0,0,0,""
